;g6;h6;js6;k6;n6;r6;f7;h7;s7;h8;u8;d9;f9;h9;d11;h11;b12;h12;H7;Js7;K7;F8;H8;H9;H11;H12;Js12;h13;H13;js13,Js13     ± it13/2      ;h14;H14;js14,Js14     ± it14/2      ;h15;H15;js15,Js15     ± it15/2      ;h16;H16;js16,Js16     ± it16/2      ;
_ 280 _ 315 _; - 17      - 49;  0       - 32; + 160     - 160; + 36       + 4; + 66    + 34; + 130 + 98; - 56     - 108;  0       - 52; + 222 + 170;  0       - 81; + 431 + 350; - 190       - 320; - 56      - 186;  0       - 130; - 190      - 510;  0       - 320; - 540     - 1060;  0       - 520;+ 52       0; + 26      - 26; + 16      - 36; + 137    + 56;+ 81       0;+ 130      0;+ 320      0;+ 520      0; + 260     - 260;  0        - 810;+ 810        0;± 405;  0        - 1300;+ 1300        0;± 650;  0        - 2100;+ 2100       0;± 1050;  0        - 3200;+ 3200        0;± 1600;_ 280 _ 315 _
  _ 315 _ 355 _; - 18      - 54;  0       - 36; + 180     - 180; + 40       + 4; + 73    + 37; 144  + 108; - 62     - 119;  0       - 57; + 247 + 190;  0       - 89; + 479 + 390; - 210       - 350; - 62      - 202;  0       - 140; - 210      - 570;  0       - 360; - 600     - 1170;  0       - 570;+ 57      0; + 28      - 28; + 17     - 40; + 151   + 62;+ 89       0;+ 140      0;+ 360      0;+ 570      0; + 285     - 285;  0        - 890;+ 890        0;± 445;  0        - 1400;+ 1400        0;± 700;  0        - 2300;+ 2300        0;± 1150;  0        - 3600;+ 3600       0;± 1800;  _ 315 _ 355 _
  _ 355 _ 400 _; - 18      - 54;  0       - 36; + 180     - 180; + 40       + 4; + 73    + 37; + 150 + 114; - 62     - 119;  0       - 57; + 265 + 208;  0       - 89; + 524 + 435; - 210       - 350; - 62      - 202;  0       - 140; - 210      - 570;  0       - 360; - 680     - 1250;  0       - 570;+ 57      0; + 28      - 28; + 17     - 40; + 151   + 62;+ 89       0;+ 140      0;+ 360      0;+ 570      0; + 285     - 285;  0        - 890;+ 890        0;± 445;  0        - 1400;+ 1400        0;± 700;  0        - 2300;+ 2300        0;± 1150;  0        - 3600;+ 3600       0;± 1800;  _ 355 _ 400 _
 _ 400 _ 450 _ ; - 20      - 60;  0       - 40; + 200    - 200; + 45       + 5; + 80    + 40; + 166 + 126; - 68     - 131;  0       - 63; + 295 + 232;  0       - 97; + 587 + 490; - 230       - 385; - 68      - 223;  0       - 155; - 230      - 630;  0       - 400; - 760     - 1390;  0       - 630;+ 63      0; + 31     - 31; + 18     - 45; + 165   + 68;+ 97       0;+ 155      0;+ 400      0;+ 630      0; + 315    - 315;  0        - 970;+ 970        0;± 485;  0        - 1550;+ 1550        0;± 775;  0        - 2500;+ 2500        0;± 1250;  0        - 4000;+ 4000        0;± 2000; _ 400 _ 450 _ 
 _ 450 _ 500 _; - 20      - 60;  0       - 40; + 200    - 200; + 45       + 5; + 80    + 40; + 172 + 132; - 68     - 131;  0       - 63; + 315 + 292;  0       - 97; + 637 + 540; - 230       - 385; - 68      - 223;  0       - 155; - 230      - 630;  0       - 400; - 840     - 1470;  0       - 630;+ 63      0; + 31     - 31; + 18     - 45; + 165   + 68;+ 97       0;+ 155      0;+ 400      0;+ 630      0; + 315    - 315;  0        - 970;+ 970        0;± 485;  0        - 1550;+ 1550        0;± 775;  0        - 2500;+ 2500        0;± 1250;  0        - 4000;+ 4000        0;± 2000; _ 450 _ 500 _
_ 500 _ 630 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 440;-;0        - 700;-;-;-;-;-;-;+ 440       0;+ 700       0;-;0        - 1100;+ 1100       0;± 550;0        - 1750;+ 1750       0;± 875;  0        - 2800;+ 2800       0;± 1400;  0        - 4400;+ 4400       0;± 2200;_ 500 _ 630 _
_ 630 _ 800 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 500;-;0        - 800;-;-;-;-;-;-;+ 500       0;+ 800       0;-;0        - 1250;+ 1250       0;± 625;0        - 2000;+ 2000       0;± 1000;  0        - 3200;+ 3200       0;± 1600;  0        - 5000;+ 5000       0;± 2500;_ 630 _ 800 _
_ 800 _ 1000 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 560;-;0        - 900;-;-;-;-;-;-;+ 560       0;+ 900       0;-;0        - 1400;+ 1400       0;± 700;0        - 2300;+ 2300       0;± 1150;  0        - 3600;+ 3600       0;± 1800;  0        - 5600;+ 5600       0;± 2800;_ 800 _ 1000 _
_ 1000 _ 1250 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 660;-;0        - 1050;-;-;-;-;-;-;+ 660       0;+ 1050       0;-;0        - 1650;+ 1650       0;± 825;0        - 2600;+ 2600       0;± 1300;  0        - 4200;+ 4200       0;± 2100;  0        - 6600;+ 6600       0;± 3300;_ 1000 _ 1250 _
_ 1250 _ 1600 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 780;-;0        - 1250;-;-;-;-;-;-;+ 780       0;+ 1250       0;-;0        - 1950;+ 1950       0;± 975;0        - 3100;+ 3100       0;± 1550;  0        - 5000;+ 5000       0;± 2500;  0        - 7800;+ 7800       0;± 3900;_ 1250 _ 1600 _
_ 1600 _ 2000 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 920;-;0        - 1500;-;-;-;-;-;-;+ 920       0;+ 1500       0;-;0        - 2300;+ 2300       0;± 1150;0        - 3700;+ 3700       0;± 1850;  0        - 6000;+ 6000       0;± 3000;  0        - 9200;+ 9200       0;± 4600;_ 1600 _ 2000 _
_ 2000 _ 2500 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 1100;-;0        - 1750;-;-;-;-;-;-;+ 1100       0;+ 1750       0;-;0        - 2800;+ 2800       0;± 1400;0        - 4400;+ 4400       0;± 2200;  0        - 7000;+ 7000       0;± 3500;  0        -11000;+11000       0;± 5500;_ 2000 _ 2500 _
_ 2500 _ 3150 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 1350;-;0        - 2100;-;-;-;-;-;-;+ 1350       0;+ 2100       0;-;0        - 3300;+ 3300       0;± 1650;0        - 5400;+ 5400       0;± 2700;  0        - 8600;+ 8600       0;± 4300;  0        -13500;+13500       0;± 6750;_ 2500 _ 3150 _
_ 3150 _ 4000 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 1650;-;0        - 2600;-;-;-;-;-;-;+ 1650       0;+ 2600       0;-;0        - 4100;+ 4100       0;± 2050;0        - 6600;+ 6600       0;± 3300;  0        -10500;+10500       0;± 5250;  0        -16500;+16500       0;± 8250;_ 3150 _ 4000 _
_ 4000 _ 5000 _;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0        - 2000;-;0        - 3200;-;-;-;-;-;-;+ 2000       0;+ 3200       0;-;0        - 5000;+ 5000       0;± 2500;0        - 8000;+ 8000       0;± 4000;  0        -13000;+13000       0;± 6500;  0        -20000;+20000       0;± 10000;_ 4000 _ 5000 _
éÅéáçÄóÖçàÖ èé éëí 4 Éé.010 (ÓËÂÌÚËÓ‚) 014;Ñ;ë;è;ç;É;è    èÄ;ï;ë2‡;è12‡    è13;ë3;è22‡    è13;ò3;ï3;ë3;ï4;ë4;ï5;ë5;Ä;è;ç;ï;Ä2‡;Ä3;Ä4;Ä5;-;-;-;-;Ç7;Ä7;ëå7;Ç8;Ä8;ëå8;à9;Ä9;ëå9;
